!Agilent Technologies,E4990A,MY54100995,A.02.20
!Date: Thu Mar 12 12:44:15 2026

BEGIN CH1_DATA
DCV(V), -1.001e+000, DCI(A), +1.653e-006
-5.55555555556e-001, +2.07956332902e-011, +1.48063697451e-001, +7.57075033333e+005, -8.15777657873e+001
-5.35353535354e-001, +2.11359918723e-011, +1.42533142183e-001, +7.45470074866e+005, -8.18880910642e+001
-5.15151515152e-001, +2.14871605189e-011, +1.44008962354e-001, +7.33134805843e+005, -8.18052335927e+001
-4.94949494949e-001, +2.20323244623e-011, +1.43647529794e-001, +7.15030663788e+005, -8.18255224461e+001
-4.74747474747e-001, +2.25544074781e-011, +1.47547206086e-001, +6.98091094589e+005, -8.16067258866e+001
-4.54545454545e-001, +2.30615471068e-011, +1.51730175939e-001, +6.82321719983e+005, -8.13723086885e+001
-4.34343434343e-001, +2.34475938004e-011, +1.52057908363e-001, +6.71055161887e+005, -8.13539544689e+001
-4.14141414141e-001, +2.42324462702e-011, +1.50942699699e-001, +6.49427947939e+005, -8.14164175390e+001
-3.93939393939e-001, +2.47740283127e-011, +1.57108856960e-001, +6.34641832983e+005, -8.10713110304e+001
-3.73737373737e-001, +2.54417613693e-011, +1.59241553313e-001, +6.17781959332e+005, -8.09520991796e+001
-3.53535353535e-001, +2.60929285274e-011, +1.63468756827e-001, +6.01964480047e+005, -8.07160443765e+001
-3.33333333333e-001, +2.68357223729e-011, +1.66426003115e-001, +5.85024652289e+005, -8.05510946453e+001
-3.13131313131e-001, +2.77021208799e-011, +1.66971853571e-001, +5.66677524751e+005, -8.05206653053e+001
-2.92929292929e-001, +2.84228072786e-011, +1.72729611626e-001, +5.51784158734e+005, -8.02000212044e+001
-2.72727272727e-001, +2.94080960954e-011, +1.81218504938e-001, +5.32520912473e+005, -7.97284165059e+001
-2.52525252525e-001, +3.01370427801e-011, +1.82932477521e-001, +5.19483501767e+005, -7.96333642543e+001
-2.32323232323e-001, +3.12451650667e-011, +1.89192158003e-001, +5.00496081248e+005, -7.92867127548e+001
-2.12121212121e-001, +3.21705731982e-011, +1.90200393811e-001, +4.86009242546e+005, -7.92309516477e+001
-1.91919191919e-001, +3.33195864322e-011, +2.01412023853e-001, +4.68258366792e+005, -7.86122973385e+001
-1.71717171717e-001, +3.44762639403e-011, +2.03862786518e-001, +4.52332487508e+005, -7.84774174644e+001
-1.51515151515e-001, +3.55585693966e-011, +2.17463947044e-001, +4.37363217159e+005, -7.77312520334e+001
-1.31313131313e-001, +3.68917943683e-011, +2.22622486939e-001, +4.21101275905e+005, -7.74493398878e+001
-1.11111111111e-001, +3.80887932297e-011, +2.30272914422e-001, +4.07195950848e+005, -7.70323851570e+001
-9.09090909091e-002, +3.95731806541e-011, +2.39390902803e-001, +3.91127555745e+005, -7.65372692904e+001
-7.07070707071e-002, +4.09969188531e-011, +2.48299250012e-001, +3.76771215614e+005, -7.60555068607e+001
-5.05050505051e-002, +4.23766841867e-011, +2.58489132077e-001, +3.63620425778e+005, -7.55068986029e+001
-3.03030303030e-002, +4.37142597427e-011, +2.63598361035e-001, +3.52054449723e+005, -7.52328373750e+001
-1.01010101010e-002, +4.51245003038e-011, +2.69909028034e-001, +3.40516408686e+005, -7.48952831394e+001
+1.01010101010e-002, +4.69307882198e-011, +2.81691991717e-001, +3.26423231012e+005, -7.42678969639e+001
+3.03030303030e-002, +4.92681556860e-011, +2.99980318994e-001, +3.09416115793e+005, -7.33017903024e+001
+5.05050505051e-002, +5.19645140620e-011, +3.17610334281e-001, +2.91906654330e+005, -7.23796141023e+001
+7.07070707071e-002, +5.47791737489e-011, +3.41121704190e-001, +2.74980400013e+005, -7.11643772017e+001
+9.09090909091e-002, +5.71578688664e-011, +3.56360399960e-001, +2.62291094742e+005, -7.03859458503e+001
+1.11111111111e-001, +5.94946004536e-011, +3.77347735733e-001, +2.50285179143e+005, -6.93261146378e+001
+1.31313131313e-001, +6.12391149296e-011, +3.89349174906e-001, +2.42181943245e+005, -6.87265900861e+001
+1.51515151515e-001, +6.28775832654e-011, +3.99630764605e-001, +2.35044759668e+005, -6.82168304473e+001
+1.71717171717e-001, +6.39681389938e-011, +4.10743270415e-001, +2.30145786975e+005, -6.76699226382e+001
+1.91919191919e-001, +6.42650191987e-011, +4.08241349345e-001, +2.29283683443e+005, -6.77926865852e+001
+2.12121212121e-001, +6.42339176245e-011, +4.06026795695e-001, +2.29572187700e+005, -6.79015295370e+001
+2.32323232323e-001, +6.34605624775e-011, +3.99499711806e-001, +2.32896041786e+005, -6.82233054672e+001
+2.52525252525e-001, +6.26087592108e-011, +3.91955687609e-001, +2.36674736966e+005, -6.85970213417e+001
+2.72727272727e-001, +6.14036607119e-011, +3.81469681751e-001, +2.42172428818e+005, -6.91196635122e+001
+2.92929292929e-001, +5.98289943321e-011, +3.68630589339e-001, +2.49597697827e+005, -6.97645705303e+001
+3.13131313131e-001, +5.81419759523e-011, +3.54520276244e-001, +2.58001349178e+005, -7.04795512544e+001
+3.33333333333e-001, +5.61338606096e-011, +3.39994702898e-001, +2.68436562081e+005, -7.12222388303e+001
+3.53535353535e-001, +5.41736662134e-011, +3.25210050945e-001, +2.79383759149e+005, -7.19849537909e+001
+3.73737373737e-001, +5.20869099940e-011, +3.11718298169e-001, +2.91712414847e+005, -7.26867879387e+001
+3.93939393939e-001, +5.00995119764e-011, +3.00554525189e-001, +3.04233513804e+005, -7.32716116358e+001
+4.14141414141e-001, +4.81221191068e-011, +2.83795239489e-001, +3.18166914560e+005, -7.41563104400e+001
+4.34343434343e-001, +4.63041373385e-011, +2.72220068600e-001, +3.31647871590e+005, -7.47719335423e+001
+4.54545454545e-001, +4.43952841472e-011, +2.59665839881e-001, +3.46987901391e+005, -7.54437189107e+001
+4.74747474747e-001, +4.26730111975e-011, +2.50803675622e-001, +3.61759655153e+005, -7.59204261729e+001
+4.94949494949e-001, +4.11326386687e-011, +2.39396086472e-001, +3.76298330400e+005, -7.65369883864e+001
+5.15151515152e-001, +3.96329074832e-011, +2.31361609898e-001, +3.91238078077e+005, -7.69731626785e+001
+5.35353535354e-001, +3.82253443462e-011, +2.20048847239e-001, +4.06631264531e+005, -7.75899119648e+001
+5.55555555556e-001, +3.69323755042e-011, +2.14330068487e-001, +4.21366541270e+005, -7.79028132062e+001
+5.75757575758e-001, +3.58400903098e-011, +2.08931169179e-001, +4.34683477598e+005, -7.81988863722e+001
+5.95959595960e-001, +3.44485370792e-011, +2.02782247079e-001, +4.52792078128e+005, -7.85368700369e+001
+6.16161616162e-001, +3.34486500508e-011, +1.96099954532e-001, +4.66925568000e+005, -7.89050894637e+001
+6.36363636364e-001, +3.24367224283e-011, +1.89385591006e-001, +4.82093403253e+005, -7.92760132272e+001
+6.56565656566e-001, +3.14526689308e-011, +1.82792218723e-001, +4.97766504371e+005, -7.96411404655e+001
+6.76767676768e-001, +3.05739410621e-011, +1.77962972445e-001, +5.12505032387e+005, -7.99091165498e+001
+6.96969696970e-001, +2.96183858982e-011, +1.72798093253e-001, +5.29504703086e+005, -8.01962112144e+001
+7.17171717172e-001, +2.88571808458e-011, +1.66673788158e-001, +5.44021567289e+005, -8.05372807889e+001
+7.37373737374e-001, +2.82877394286e-011, +1.65320892327e-001, +5.55094204001e+005, -8.06127173370e+001
+7.57575757576e-001, +2.72478017184e-011, +1.64371635071e-001, +5.76367689032e+005, -8.06656669010e+001
+7.77777777778e-001, +2.67359526372e-011, +1.59488711906e-001, +5.87854775909e+005, -8.09382887815e+001
+7.97979797980e-001, +2.61104315842e-011, +1.55511929345e-001, +6.02305870607e+005, -8.11606259986e+001
+8.18181818182e-001, +2.55291655923e-011, +1.50116823767e-001, +6.16516078436e+005, -8.14626882834e+001
+8.38383838384e-001, +2.48210025723e-011, +1.52232607918e-001, +6.33907516559e+005, -8.13441713823e+001
+8.58585858586e-001, +2.42640763185e-011, +1.47479714293e-001, +6.48909285341e+005, -8.16105105269e+001
+8.78787878788e-001, +2.38067508769e-011, +1.42219370675e-001, +6.61868536513e+005, -8.19057116602e+001
+8.98989898990e-001, +2.33356674580e-011, +1.42591490602e-001, +6.75194785751e+005, -8.18848145382e+001
+9.19191919192e-001, +2.27927020452e-011, +1.41504116354e-001, +6.91383877196e+005, -8.19458842490e+001
+9.39393939394e-001, +2.24025316548e-011, +1.35293776310e-001, +7.04018741552e+005, -8.22950220068e+001
+9.59595959596e-001, +2.19733800669e-011, +1.30660938283e-001, +7.18203231518e+005, -8.25558513985e+001
+9.79797979798e-001, +2.15517703517e-011, +1.29378452950e-001, +7.32373271104e+005, -8.26281108317e+001
+1.00000000000e+000, +2.10904116612e-011, +1.35246446093e-001, +7.47823302799e+005, -8.22976850992e+001
END
