SP023_2theta_15-75,
2θ - °,Intensity - counts
16.5300006866455,10.054856300354
16.5400009155273,4.46305418014526
16.5499992370605,5.56970882415771
16.5599994659424,7.4143533706665
16.5699996948242,11.7998666763306
16.5799999237061,4.60856866836548
16.5900001525879,5.19773387908936
16.6000003814697,4.62598371505737
16.6100006103516,8.43196392059326
16.6200008392334,3.46522855758667
16.6299991607666,6.53888988494873
16.6399993896484,4.12312602996826
16.6499996185303,4.23894882202148
16.6599998474121,8.69753932952881
16.6700000762939,10.7330055236816
16.6800003051758,5.93609189987183
16.6900005340576,5.22096824645996
16.7000007629395,13.9514570236206
16.7099990844727,6.60495519638062
16.7199993133545,11.7639799118042
16.7299995422363,11.7780342102051
16.7399997711182,4.8699107170105
16.75,4.5442328453064
16.7600002288818,5.48569059371948
16.7700004577637,6.19378089904785
16.7800006866455,3.16434240341187
16.7900009155273,11.0471057891846
16.7999992370605,7.94727897644043
16.8099994659424,4.74192810058594
16.8199996948242,3.1024272441864
16.8299999237061,4.85410976409912
16.8400001525879,6.65482234954834
16.8500003814697,4.06507968902588
16.8600006103516,7.19116401672363
16.8700008392334,10.8705720901489
16.8799991607666,6.21237134933472
16.8899993896484,2.44659447669983
16.8999996185303,5.61542272567749
16.9099998474121,2.07506322860718
16.9200000762939,4.46196031570435
16.9300003051758,7.32262277603149
16.9400005340576,3.15784764289856
16.9500007629395,3.08990883827209
16.9599990844727,5.50274610519409
16.9699993133545,11.8001918792725
16.9799995422363,15.2025260925293
16.9899997711182,8.77329063415527
17,2.39956498146057
17.0100002288818,8.38166522979736
17.0200004577637,6.40659666061401
17.0300006866455,5.57155084609985
17.0400009155273,3.07440996170044
17.0499992370605,6.59885835647583
17.0599994659424,3.20589756965637
17.0699996948242,8.79273128509521
17.0799999237061,3.71526050567627
17.0900001525879,7.69156742095947
17.1000003814697,4.18557548522949
17.1100006103516,6.66408729553223
17.1200008392334,6.68391990661621
17.1299991607666,6.54200649261475
17.1399993896484,10.1777763366699
17.1499996185303,8.27795505523682
17.1599998474121,8.40177822113037
17.1700000762939,7.60577011108398
17.1800003051758,4.42673778533936
17.1900005340576,4.1481466293335
17.2000007629395,6.72766017913818
17.2099990844727,7.35430240631104
17.2199993133545,10.9911613464355
17.2299995422363,7.68234968185425
17.2399997711182,2.09863805770874
17.25,8.7640266418457
17.2600002288818,9.46091938018799
17.2700004577637,3.44719266891479
17.2800006866455,3.15481877326965
17.2900009155273,4.52219820022583
17.2999992370605,7.35223484039307
17.3099994659424,5.55145740509033
17.3199996948242,3.78633618354797
17.3299999237061,7.23670196533203
17.3400001525879,7.12616443634033
17.3500003814697,8.76615428924561
17.3600006103516,6.57818984985352
17.3700008392334,11.6087989807129
17.3799991607666,4.1310772895813
17.3899993896484,7.32600927352905
17.3999996185303,6.25609588623047
17.4099998474121,6.29208087921143
17.4200000762939,5.62819814682007
17.4300003051758,7.60504055023193
17.4400005340576,4.14602136611938
17.4500007629395,4.53053998947144
17.4599990844727,5.58392524719238
17.4699993133545,6.84651851654053
17.4799995422363,6.15048789978027
17.4899997711182,4.47858333587646
17.5,3.23381018638611
17.5100002288818,5.27960538864136
17.5200004577637,11.83034324646
17.5300006866455,3.81214332580566
17.5400009155273,4.80568838119507
17.5499992370605,9.09103012084961
17.5599994659424,4.5003547668457
17.5699996948242,7.96132230758667
17.5799999237061,7.54081106185913
17.5900001525879,9.71253871917725
17.6000003814697,7.87269306182861
17.6100006103516,6.28710556030273
17.6200008392334,6.89912605285645
17.6299991607666,5.5440936088562
17.6399993896484,6.54295206069946
17.6499996185303,7.42157793045044
17.6599998474121,7.93538427352905
17.6700000762939,3.13436388969421
17.6800003051758,3.46608304977417
17.6900005340576,9.69713973999023
17.7000007629395,7.66660976409912
17.7099990844727,9.80179691314697
17.7199993133545,8.2851676940918
17.7299995422363,9.62667751312256
17.7399997711182,10.3884544372559
17.75,9.40753364562988
17.7600002288818,7.30023956298828
17.7700004577637,12.4729499816895
17.7800006866455,8.87111663818359
17.7900009155273,6.53842973709106
17.7999992370605,5.85237312316895
17.8099994659424,9.39636993408203
17.8199996948242,8.41488265991211
17.8299999237061,9.76461505889893
17.8400001525879,6.18812036514282
17.8500003814697,6.27517557144165
17.8600006103516,6.13000869750977
17.8700008392334,6.23530054092407
17.8799991607666,8.56648921966553
17.8899993896484,3.50951552391052
17.8999996185303,0.331684321165085
17.9099998474121,4.4347972869873
17.9200000762939,2.88969898223877
17.9300003051758,5.30171394348145
17.9400005340576,2.10977435112
17.9500007629395,7.25884342193604
17.9599990844727,8.01932334899902
17.9699993133545,5.51277923583984
17.9799995422363,16.6743431091309
17.9899997711182,12.3836765289307
18,7.57033205032349
18.0100002288818,8.37310123443604
18.0200004577637,7.69003057479858
18.0300006866455,5.59843587875366
