TCWu142_0_2theta_XRR,
2θ - °,Intensity - counts
2.84999990463257,47.9056663513184
2.85999989509583,41.9173774719238
2.86999988555908,41.4740791320801
2.88000011444092,33.9669876098633
2.89000010490417,35.0379066467285
2.90000009536743,53.1077461242676
2.91000008583069,57.1191291809082
2.92000007629395,63.8142929077148
2.9300000667572,63.948917388916
2.94000005722046,77.9178161621094
2.95000004768372,81.6265029907227
2.96000003814697,81.0654144287109
2.97000002861023,83.1597671508789
2.98000001907349,88.9069519042969
2.99000000953674,87.2625045776367
3,67.2343063354492
