!Agilent Technologies,E4990A,MY54100995,A.02.20
!Date: Thu Mar 12 12:49:37 2026

BEGIN CH1_DATA
DCV(V), +9.994e-001, DCI(A), +4.832e-006
-3.33333333333e-001, +1.99232988085e-011, +5.16348106933e-002, +7.97775519810e+005, -8.70441683068e+001
-3.13131313131e-001, +2.06421139895e-011, +4.96487474226e-002, +7.70072032152e+005, -8.71576702272e+001
-2.92929292929e-001, +2.14757528826e-011, +5.67132373766e-002, +7.39902379470e+005, -8.67540479599e+001
-2.72727272727e-001, +2.23982663520e-011, +4.87655692239e-002, +7.09724742968e+005, -8.72081503775e+001
-2.52525252525e-001, +2.31608930158e-011, +5.11799710122e-002, +6.86272792683e+005, -8.70701600116e+001
-2.32323232323e-001, +2.41651113914e-011, +5.83442962645e-002, +6.57496437343e+005, -8.66609034571e+001
-2.12121212121e-001, +2.52020214209e-011, +5.68076436572e-002, +6.30500050768e+005, -8.67486562492e+001
-1.91919191919e-001, +2.59835228391e-011, +6.01234287913e-002, +6.11418485642e+005, -8.65593231085e+001
-1.71717171717e-001, +2.69714540625e-011, +5.93540832074e-002, +5.89049953438e+005, -8.66032466106e+001
-1.51515151515e-001, +2.78546449867e-011, +5.72145078276e-002, +5.70443759504e+005, -8.67254201731e+001
-1.31313131313e-001, +2.86576174525e-011, +5.71306076702e-002, +5.54462854516e+005, -8.67302116361e+001
-1.11111111111e-001, +2.92462772467e-011, +5.61414792393e-002, +5.43333141525e+005, -8.67867033110e+001
-9.09090909091e-002, +2.99009319385e-011, +5.40385507159e-002, +5.31498723112e+005, -8.69068276298e+001
-7.07070707071e-002, +3.04622920108e-011, +5.45130975977e-002, +5.21690850384e+005, -8.68797179583e+001
-5.05050505051e-002, +3.10388453212e-011, +5.47114837158e-002, +5.11994798591e+005, -8.68683850714e+001
-3.03030303030e-002, +3.18187574645e-011, +5.39209205547e-002, +4.99466636325e+005, -8.69135477604e+001
-1.01010101010e-002, +3.27807890117e-011, +5.38237517645e-002, +4.84811110213e+005, -8.69190990110e+001
+1.01010101010e-002, +3.46303201845e-011, +5.70808055754e-002, +4.58835763994e+005, -8.67330558109e+001
+3.03030303030e-002, +3.70414093550e-011, +6.15724185779e-002, +4.28855461584e+005, -8.64766083722e+001
+5.05050505051e-002, +3.98286853344e-011, +6.47836093199e-002, +3.98762875031e+005, -8.62933523100e+001
+7.07070707071e-002, +4.32092373623e-011, +7.15150433178e-002, +3.67397149689e+005, -8.59094539256e+001
+9.09090909091e-002, +4.64155066585e-011, +7.01118242471e-002, +3.42052073514e+005, -8.59894512931e+001
+1.11111111111e-001, +5.00246463144e-011, +7.74329229535e-002, +3.17203527781e+005, -8.55722555894e+001
+1.31313131313e-001, +5.34331826672e-011, +7.88126330408e-002, +2.96937101665e+005, -8.54936835748e+001
+1.51515151515e-001, +5.69750940519e-011, +8.33708808087e-002, +2.78375478139e+005, -8.52342218407e+001
+1.71717171717e-001, +5.98207375784e-011, +8.39091085703e-002, +2.65121438990e+005, -8.52035978966e+001
+1.91919191919e-001, +6.17450456388e-011, +8.31948055452e-002, +2.56874051398e+005, -8.52442407189e+001
+2.12121212121e-001, +6.34287972140e-011, +8.45232251646e-002, +2.50027531320e+005, -8.51686594051e+001
+2.32323232323e-001, +6.37492319371e-011, +8.43683141195e-002, +2.48774002330e+005, -8.51774723086e+001
+2.52525252525e-001, +6.36119369793e-011, +8.05888153840e-002, +2.49388140072e+005, -8.53925582179e+001
+2.72727272727e-001, +6.25045737454e-011, +7.83836039328e-002, +2.53850641522e+005, -8.55181142074e+001
+2.92929292929e-001, +6.11043834842e-011, +7.73917615485e-002, +2.59687499370e+005, -8.55745999154e+001
+3.13131313131e-001, +5.85557072142e-011, +7.12206442967e-002, +2.71114179270e+005, -8.59262362683e+001
+3.33333333333e-001, +5.60890105381e-011, +6.84405997425e-002, +2.83091992349e+005, -8.60847480345e+001
+3.53535353535e-001, +5.31241760042e-011, +6.81430001212e-002, +2.98897265748e+005, -8.61017200830e+001
+3.73737373737e-001, +5.01736106210e-011, +6.31650188981e-002, +3.16577556003e+005, -8.63857126856e+001
+3.93939393939e-001, +4.72175898992e-011, +5.91274765142e-002, +3.36479399500e+005, -8.66161848115e+001
+4.14141414141e-001, +4.44350905576e-011, +5.38384232536e-002, +3.57656032647e+005, -8.69182608255e+001
+4.34343434343e-001, +4.21721976354e-011, +5.18220816272e-002, +3.76887318996e+005, -8.70334671073e+001
+4.54545454545e-001, +3.96841067825e-011, +4.99973844412e-002, +4.00554290572e+005, -8.71377442607e+001
+4.74747474747e-001, +3.73821787613e-011, +4.61741587068e-002, +4.25297710823e+005, -8.73562933573e+001
+4.94949494949e-001, +3.56388982119e-011, +4.54602433134e-002, +4.46115755676e+005, -8.73971120074e+001
+5.15151515152e-001, +3.39005863791e-011, +4.21650014405e-002, +4.69058705671e+005, -8.75855535678e+001
+5.35353535354e-001, +3.25461561530e-011, +3.88570963557e-002, +4.88644269645e+005, -8.77747718621e+001
+5.55555555556e-001, +3.11659581627e-011, +3.98268414631e-002, +5.10264655572e+005, -8.77192954305e+001
+5.75757575758e-001, +2.98029800597e-011, +3.98630320322e-002, +5.33599793706e+005, -8.77172251504e+001
+5.95959595960e-001, +2.87603250325e-011, +3.61138038559e-002, +5.53023162424e+005, -8.79317302949e+001
+6.16161616162e-001, +2.76589409725e-011, +3.33017679472e-002, +5.75100704520e+005, -8.80926541250e+001
+6.36363636364e-001, +2.67950476401e-011, +3.11186821451e-002, +5.93684103591e+005, -8.82176060409e+001
+6.56565656566e-001, +2.58672404057e-011, +3.46839771868e-002, +6.14906332922e+005, -8.80135507868e+001
+6.76767676768e-001, +2.51009510541e-011, +3.12400819336e-002, +6.33750237173e+005, -8.82106571009e+001
+6.96969696970e-001, +2.43560730276e-011, +2.95711794511e-002, +6.53165235734e+005, -8.83061898272e+001
+7.17171717172e-001, +2.34903803013e-011, +2.58593251593e-002, +6.77306003118e+005, -8.85186999326e+001
+7.37373737374e-001, +2.29694796279e-011, +2.64107771706e-002, +6.92655937725e+005, -8.84871256271e+001
+7.57575757576e-001, +2.23926175111e-011, +2.90440463908e-002, +7.10447795348e+005, -8.83363664064e+001
+7.77777777778e-001, +2.19148858949e-011, +3.30401778830e-002, +7.25845180766e+005, -8.81076256582e+001
+7.97979797980e-001, +2.13120127651e-011, +3.17374662881e-002, +7.46409311995e+005, -8.81821873062e+001
+8.18181818182e-001, +2.09986073106e-011, +2.64823179571e-002, +7.57665312501e+005, -8.84830295068e+001
+8.38383838384e-001, +2.05064583876e-011, +2.88258222470e-002, +7.75798814757e+005, -8.83488592693e+001
+8.58585858586e-001, +2.00104863258e-011, +2.76506658694e-002, +7.95053821630e+005, -8.84161371151e+001
+8.78787878788e-001, +1.97327791142e-011, +2.86948689119e-002, +8.06219229816e+005, -8.83563561416e+001
+8.98989898990e-001, +1.93291128836e-011, +2.44532354311e-002, +8.23148900713e+005, -8.85992119753e+001
+9.19191919192e-001, +1.89993600853e-011, +2.68334386400e-002, +8.37384390116e+005, -8.84629260602e+001
+9.39393939394e-001, +1.86810097464e-011, +2.93696382590e-002, +8.51593934360e+005, -8.83177272666e+001
+9.59595959596e-001, +1.84926214775e-011, +2.30407183797e-002, +8.60411891475e+005, -8.86800976144e+001
+9.79797979798e-001, +1.82216451774e-011, +2.92525526205e-002, +8.73065465990e+005, -8.83244300209e+001
+1.00000000000e+000, +1.81891977255e-011, +2.52457437613e-002, +8.74718342257e+005, -8.85538326167e+001
END
